Typo,Word
ofcn,ofisini
coron,corona
korona,corona
koron,corona
test kits,kifaa cha kupimia
test,kupima
meng,mengi
sh,shilingi
yauzwa,inauzwa
ngap,ngapi
wanasubir,wanasubiri
maskin,masikini
stahik,stahiki
tz,tanzania
nlidhan,nilidhani
sabab,sababu
kwamb,kwamba
chenyew,chenyewe
chnyw,chenyewe
chnyew,chenyewe
kupim,kupima
xo,sio
tayar,tayari
jaman,jamani
jmn,jamani
ukwel,ukweli
mpka,mpaka
huk,huku
nilifikir,nilifikiri
makin,makini
serius,makini
usubir,usubiri
ajar,ajari
hekim,hekima
tahadhal,tahadhali
tahadhar,tahadhali
tahadhari,tahadhali
cy,siyo
cyo,siyo
cc,sisi
ndpo,ndipo
kbisa,kabisa
kabis,kabisa
vzr,vizuri
vizur,vizuri
ww,wewe
waruhus,waruhusu
uchunguz,uchunguzi
hv,hivi
lin,lini
katumbuliw,katumbuliwa
yy,yeye
hawez,hawezi
mpk,mpaka
yan,yaani
hawawez,hawawezi
puppet,kibalaka
what exactly,nini haswa
to be honest,kusema ukweli
source,chanzo
icmamie,isimamie
wkat,wakati
lock down,lockdown
rock down,lockdown
kipndi ,kipindi
ndy,ndiyo
matatiz,matatizo
karantin,karantini
krntin,karantini
karantn,karantini
karanatin,karantini
krntn,karantini
krntini,karantini
barako,barakoa
balakoa,barakoa
blkoa,barakoa
brkoa,barakoa
k2,kitu
ssrikali,serikali
srikali,serikali
srkali,serikali
serkal,serikali
serikal,serikali
wew,wewe
Lockdow,Lockdown
vvu,virusi vya ukimwi
sku,siku
virus,virusi
kuxababixha,kusababisha
ukeketaj,ukeketaji
unasababixha,unasababisha
zid,zidi
atar,hatari
sivizur,sivizuri
mzur,mzuri
elmu,elimu
xwal,swali
iwaelmsh,iwaelimishe
iwaelmshe,iwaelimishe
serekal,serikali
serekali,serikali
wanaoshrk,wanaoshiriki
wanaoshirk,wanaoshiriki
wanaoshirik,wanaoshiriki
mabint,mabinti
bint,binti
vfo,vifo
kaml,kamili
kamil,kamili
kixheria,kisheria
mbya,mbaya
mlnz,mlinzi
upat,upata
kuhamaxixha,kuhamasisha
izo,hizo
hzo,hizo
maambukiz,maambukizi
khus,kuhusu
selekalini,serikalini
selkalin,serikalini
serekalini,serikalini
serkalini,serikalini
anzixha,anzisha
anzxsh,anzisha
anzxsha,anzisha
azabu,adhabu
wanapotez,wanapoteza
wanapokektwa,wanapokeketwa
wanapokktwa,wanapokeketwa
wanapokektw,wanapokeketwa
wanapkktwa,wanapokeketwa
asali,athari
inawz,inaweza
makal,makali
uzaz,uzazi
ujuz,ujuzi
kksumbua,kukusumbua
hstoria,historia
taklibani,takribani
takriban,takribani
kwahy,kwa hiyo
cm,simu
cjui ,sijui
cielewi,sielewi
cjaoma,sijaona
cjaona,sijaona
kuwaxhaul,kuwashauli
coz,kwa sababu
7bu,sababu
weken,wekeni
urahic,urahisi
msichn,msichana
baazi,bahazi
sanitizer,sanitaiza
sanitiser,sanitaiza
ndo,ndiyo
ndio,ndiyo
xanaxana,sana sana
kwann,kwa nini
sie,sisi
u report,ureport
u-report,ureport
u reporti,ureport
u-reporti,ureport
u repot,ureport
u reprt,ureport
u repoters,urepoters
u ripoti,ureport
athilika,athirika
mtt,mtoto
me,mimi
mi,mimi
nk,na kadhalika
n k,na kadhalika
yte,yote
kal,kali
n,na
ahsante,asante
wang,wangu
ata,hata
mda,muda
dam,damu
nae,naye
katka,katika
malufuku,marufuku
kua,kuwa
nna,nina
znaa,zinaa
